Source,Target,Date,Preuves,Mea Culpa ?
Inbar Lavi,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Isabelle Balkany,Fraude,,,
Isabelle Balkany,Racisme (« grain de riz »),,,
Isla Fisher,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Jack Black,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Jack Nicholson,Violence ayant entrainé la cécité puis la mort de sa victime,1996,https://www.theguardian.com/film/2000/may/15/news1,
Jackie Chan,Père odieux,2018,https://www.leparisien.fr/laparisienne/people/devenue-sdf-la-fille-de-jackie-chan-accuse-ses-parents-d-homophobie-02-05-2018-7693902.php,
Jackie Sandler,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Jake Graf,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Jake Kasdan ,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
James Brolin,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
James Cameron,Maltraitance d’acteurices.,,,
James Corden,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
James Franco,Harcèlement sexuel,2019,https://www.thecut.com/2022/07/all-the-sexual-misconduct-allegations-against-james-franco.html,
James Franco,Tentative de viol,2014,https://www.thecut.com/2022/07/all-the-sexual-misconduct-allegations-against-james-franco.html,
James Woods,Transphobie,10/2023,https://twitter.com/RealJamesWoods/status/1718309699865682085,
Jamie Lee Curtis,Soutient le massacre d’Israël contre la Palestine,10/2023,,
Jamie Ray Newman,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
Jared Leto,Agressions sexuelles dans son culte,2019,https://www.public.fr/News/Agressions-sexuelles-Jared-Leto-de-nouveau-dans-la-tourmente-1705609,
Jaron Varsano,Pro-génocide d’israel contre les palestiniens.,10/2023,https://www.nohostageleftbehind.com/,
